odfw_raw,name,lat,lon,acres,amenities,species,has_camping,coord_note
BIG CREEK RES-2,Big Creek Reservoir 2,44.65818,-124.02904,,,rainbow+brown+bullhead,False,
DETROIT RES,Detroit Lake,44.72823,-122.17617,,camping+boat_ramp+accessible+restroom+parking,rainbow,True,
EMIGRANT RES,Emigrant Lake,42.15961,-122.617,,boat_ramp+restroom+camping,rainbow+largemouth+smallmouth+crappie,True,
HENRY HAGG LK,Henry Hagg Lake,45.48433,-123.20987,1110,boat_ramp,rainbow+brown+cutthroat+largemouth+smallmouth+crappie+bluegill+bullhead+perch,False,
"KINGSLEY RES, UPR",Kingsley Reservoir,45.64114,-121.67391,60,camping,rainbow+steelhead,True,
RED TOP LK,Red Top Pond,43.08038,-122.95609,,camping,rainbow,True,
REINHART PARK PD,Reinhart Pond,42.42956,-123.34862,,,rainbow+largemouth+bluegill,False,
SUNNYSIDE PARK PD,Sunnyside Pond,44.4283,-122.60908,8,,rainbow+largemouth+crappie+bluegill,False,
THOMPSON (VALLEY) RES,Thompson Valley Reservoir,42.94361,-121.06625,2500,boat_ramp+camping,rainbow+largemouth,True,
TROJAN RECREATION LK,Trojan Pond,46.03652,-122.89071,15,,rainbow,False,
VERNONIA LK,Vernonia Pond,45.85711,-123.17322,,boat_ramp+dock+accessible+restroom+camping+bank_access,rainbow+brown+largemouth+crappie+bluegill+bullhead+steelhead,True,
YELLOW JACKET LK,Yellow Jacket Pond,45.22364,-118.88443,,,rainbow,False,
GREEN PETER RES,Green Peter Reservoir,44.48139,-122.51781,328,boat_ramp+restroom,rainbow+kokanee,False,
LONG CREEK PD,Long Creek Reservoir,44.35914,-118.15985,8,,rainbow+brook,False,
"EMPIRE LK, LWR",Empire Lakes,43.3967,-124.26296,120,boat_ramp+accessible,rainbow+bluegill+catfish+perch,False,shared point with sibling water
"EMPIRE LK, UPR",Empire Lakes,43.3967,-124.26296,120,boat_ramp+accessible,rainbow+bluegill+catfish+perch,False,shared point with sibling water
"TENMILE LK, N",Tenmile Lake,43.57193,-124.16688,2723,boat_ramp+camping,rainbow+brown+cutthroat+largemouth+crappie+bluegill+bullhead+perch,True,shared point with sibling water
"TENMILE LK, S",Tenmile Lake,43.57193,-124.16688,2723,boat_ramp+camping,rainbow+brown+cutthroat+largemouth+crappie+bluegill+bullhead+perch,True,shared point with sibling water
